title,main_story,main_extra,complesionist,all_styles
史莱姆冒险战SlimeWarfare,0,0,0,0
Chased by Darkness,0.0,0.0,0.0,0.0
恋爱绮谭 不存在的真相 电子版设定集,0,0,0,0
Starsim,0,0,0,0
呆呆大冒险,0,0,0,0
Captain Contraption's Chocolate Factory,0,0,0,0
Goolems,0,0,0,0
The Alchemist of Nafiljar,0,0,0,0
Crazy Drift,0,0,0,0
Singularity Runner - Supporter,0,0,0,0
WinterThunder,0,0,0,0
Hidden Shapes Cat Realm - Wallpapers,0,0,0,0
Spy Girl-01,0,0,0,0
Quantum Tripper - Voyager,0,0,0,0
Quantum Tripper - Wetwash,0,0,0,0
Digit Factory,0,0,0,0
World War Zero,0.0,0.0,0.0,0.0
Juan Sin Miedo,0,0,0,0
Cold Massacre,0,0,0,0
Students of Light Bonds - Typing RPG with Character Creation -,0,0,0,0
Orya Playtest,0,0,0,0
Hungry Caveman,0,0,0,0
Beat The Devil,0,0,0,0
Balloon prototype Playtest,0,0,0,0
The Dead City,1.0,0.0,0.0,1.0
Bones of Halloween,0,0,0,0
VRROOM,0,0,0,0
OVERKILL,0,0,0,0
Hentai Sexy Nurses,0,0,0,0
Orbtangle,0,0,0,0
The Senex Bird,0,0,0,0
Stay Out Of The Farm,0,0,0,0
The Survival of Sarah Rose,0,0,0,0
Supermarket Duck Dash,0,0,0,0
Stay Out Of The Farm: Prologue,0,0,0,0
That Makes Sense,0,0,0,0
Merchant of Bohemia,0,0,0,0
THE TRADER -Goods Dealer Simulator-,0,0,0,0
Candice DeBébé's Tantalising Tricks,0.0,0.0,19.75,19.75
Deep Rock Galactic - Biohazard Pack,0,0,0,0
Boo!,0.7,0.0,1.16,0.85
Mosaique Neko Waifus 5,1.33,0.0,1.49,1.43
Pool Cleaning Simulator,0,0,0,0
Wekufu Playtest,0,0,0,0
Hoiwa Hub,0,0,0,0
Monster Energy Supercross 6 - Credits Multiplier,0,0,0,0
PRO ERA,0,0,0,0
Monsters of Seabrook,0,0,0,0
Park Control Simulator,0,0,0,0
Ropu Barastu No X,0,0,0,0
Fantasy Grounds - Mutant Crawl Classics #3: Incursion of the Ultradimension,0,0,0,0
Watamari - A Match Made in Heaven Part1 - Kemomimi Patch,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Bigger Dungeon,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Lost City,0,0,0,0
Fantasy Grounds - Mutant Crawl Classics #4: Warlords of ATOZ,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Mythos Dungeon,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Bigger Forest,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Elemental Planes Multi-Pack,0,0,0,0
Moonleap,1.75,0.0,3.5,2.17
Pogo Rage: The Awakening,0,0,0,0
Treasure Hunter VR,0,0,0,0
Nightmare,0.0,0.0,0.0,0.0
Splash Playtest,0,0,0,0
RAGINGSTRIKE,0,0,0,0
Africa Empire 2027,0,0,0,0
Quiz.com,0,0,0,0
Lazerhawk,0,0,0,0
Ankora: Lost Days - Prologue,0,0,0,0
Hunting Labyrinth,0,0,0,0
Tales of Spark,0,0,0,0
ChronoCodex,0,0,0,0
Ultra Blade,0,0,0,0
Stardeus: The Journey,0,0,0,0
MeiQi 2020,0,0,0,0
Taora : Survival,0,0,0,0
Call of the Wild: The Angler™ – Norway Reserve,0,0,0,0
Number 99,0,0,0,0
FukTopia 5,0,0,0,0
Make me Float,0,0,0,0
Sex Adventures - BDSM Dungeon,0,0,0,0
Motherboard Under Attack,0,0,0,0
Puzzle Pieces 5: Fairy Ring,0,0,0,0
Fortune Handlers,0,0,0,0
SEARCH ALL - MICE,0,0,0,0
Grist,0,0,0,0
College Kings 2 - Episode 1 Supporter Upgrade,0,0,0,0
いのちのないうた,0,0,0,0
Catching Spirits,0,0,0,0
Surfwords,0,0,0,0
Kai Yuan,0,0,0,0
Touchdown Girls,0,0,0,0
Legacy of Sin blood oath: Digital Art collection,0,0,0,0
Tile Town,0,0,0,0
Putin Destroys Alien,0,0,0,0
XYZ,0,0,0,0
Eons Away,0,0,0,0
Sinister Entity,0,0,0,0
Tilecraft,0,0,0,0
Doll Explorer - Prologue,0.0,0.0,0.77,0.77
Keep Me Posted,0,0,0,0
Causal Nexus,0,0,0,0
DEATHWATCH,0,0,0,0
Sally Face,8.57,11.34,14.9,9.86
PEP,0,0,0,0
So Much Stuff,0.0,0.0,0.0,0.0
Rayless Blade,0,0,0,0
Dread Hunger Helms of the Emperor,0,0,0,0
Acretia - Guardians of Lian,0.0,0.0,0.0,0.0
Dead Space Digital Deluxe Edition Upgrade,0,0,0,0
Who is There?,0,0,0,0
Sorcerer Standoff,0,0,0,0
Escape From Lavender Island,0,0,0,0
Oathbreakers,0,0,0,0
Slender Myth,0,0,0,0
Skader,0,0,0,0
Hellventure,0,0,0,0
Beach Restaurant,0.0,0.0,3.83,3.83
Realms Beyond: Ashes of the Fallen,0.0,0.0,0.0,0.0
Emberfate: Tempest of Elements,0,0,0,0
99 Fails,0,0,0,0
Limited Digital Bonus - Horse Tales: Emerald Valley Ranch,0,0,0,0
DJMAX RESPECT V - V EXTENSION III PACK,0,0,0,0
Assassin's Vol. - adult patch,0,0,0,0
MeiQi 2021,0,0,0,0
Dicknosaurus Prologue,0,0,0,0
Aevumblade Chronicles,0.0,0.0,0.0,0.0
Color Zone,0,0,0,0
Bitter Belief,0,0,0,0
Dicknosaurus Prologue Playtest,0,0,0,0
Lighten Up,0,0,0,0
Draft Day Sports: Pro Football 2023,0,0,0,0
NecroBouncer: Prologue,0.0,0.0,0.0,0.0
Dragon Ball Z: Kakarot - Bardock: Alone Against Fate,2.57,4.22,4.89,3.65
Eureka,0,0,0,0
Magic Bubbles,0,0,0,0
Skeleton Punchers,0,0,0,0
Aurora Playtest,0,0,0,0
Dread Hunger Figureheads of the Kraken,0,0,0,0
Dread Hunger Figureheads of Myth,0,0,0,0
Dread Hunger Figureheads of the Hunt,0,0,0,0
Dread Hunger Figureheads of the Sirens,0,0,0,0
Dread Hunger Helms of the Artisan,0,0,0,0
Dread Hunger Helms of History,0,0,0,0
Dread Hunger Lighting Fixtures and Hues,0,0,0,0
Dread Hunger Hull Restoration,0,0,0,0
Dread Hunger Ensigns of the Sea,0,0,0,0
Dread Hunger Interior Restoration,0,0,0,0
Dread Hunger Naval Furnishings,0,0,0,0
Dread Hunger Admiral's Decor,0,0,0,0
Stop Dead,0,0,0,0
²Pattern,0,0,0,0
#INNER UNIVERSE 1F0000,0,0,0,0
YeahZapRUN,0,0,0,0
Liber Prologue,0,0,0,0
Area: Zero,0,0,0,0
S.P.L.I.C.E.D.,0,0,0,0
Witch Guild Survivor,0,0,0,0
Small Cell,0,0,0,0
柒愿传说,0,0,0,0
Oceancatch,0,0,0,0
Yet Another Zombie Survivors,0,0,0,0
Magecraft,0,0,0,0
Ablaze Playtest,0,0,0,0
Spinout Drifter,0,0,0,0
Molytropia: Cloud in Shape of Hurt,0,0,0,0
FEATHERED RUN,0,0,0,0
Ceplion,0,0,0,0
Escape From The Red Planet,0,0,0,0
Punzel: Chapter I - Toujours la Meme Histoire,0,0,0,0
PumPum - Girls Pack #5,0,0,0,0
SENTINEL,0,0,0,0
Samurai's Zenith: Shifting of the Guard,0,0,0,0
Hot Pussy College 🍓🔞,0,0,0,0
Tomb of the Dead,0.0,0.0,0.0,0.0
Island of Aito: Life After Death,0,0,0,0
Azazel's Christmas Fable,0.0,0.0,0.0,0.0
SWAP,5.0,0.0,0.0,5.0
Textbound Tales Playtest,0,0,0,0
Loading...,0,0,0,0
It's Locked,0,0,0,0
Draconian Wars,4.0,0.0,0.0,4.0
Fraction Reaction,0,0,0,0
E.E.R.I.E2,0,0,0,0
Pricia Defense,0,0,0,0
shapez 2,0,0,0,0
Abnormal Status ~Tattoo / Prohibited Books / Parasites~,0,0,0,0
Rustil: Eternal Labyrinth Castle,0,0,0,0
Star Conflict - Irbis,0,0,0,0
Star Conflict - Bear,0,0,0,0
FrogJump,0,0,0,0
X-RACER,0,0,0,0
Keep of the Witch,0,0,0,0
Antrabhara,0,0,0,0
A Maiden Astrologer Divines the Future,0.0,0.0,0.0,0.0
For Mother Matron,0,0,0,0
Bargain Platformer,0,0,0,0
缄默咖啡厅,0,0,0,0
Otherworld Legends - Uliana,0,0,0,0
Otherworld Legends - Mirelha,0,0,0,0
Otherworld Legends - Skin : Nutcracker,0,0,0,0
Otherworld Legends - Skin : Jungle Adventurer,0,0,0,0
Dreamcutter,0.0,5.63,5.99,5.81
DOORS,0,0,0,0
夢隠し - Dreamed Away,0,0,0,0
Summer Crush,0,0,0,0
Divided Skies,0,0,0,0
OVRLRD,0,0,0,0
Like a Dragon: Ishin! - Bonechewer Katana,0,0,0,0
Like a Dragon: Ishin! - Waterdrop Katana,0,0,0,0
Existence: The Outer Reach,0,0,0,0
Mist Legacy Playtest,0,0,0,0
Idle Champions - Elf Hazard Merilwen Skin & Feat Pack,0,0,0,0
Idle Champions - High Society Egbert Skin & Feat Pack,0,0,0,0
Routemania,0,0,0,0
Larcenauts Spectator Mode,0,0,0,0
The Tower,1.38,0.0,0.0,1.38
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Noble Estate,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Bigger Taverns,0,0,0,0
Rage Night Playtest,0,0,0,0
Drift86 - Map Pack,0,0,0,0
Emilia's PLAYROOM,0,0,0,0
Internet Cafe Simulator,6.34,6.9,7.71,7.15
Conquer: Napoleonic Wars,0,0,0,0
ALTAIR BREAKER - ROYAL SET,0,0,0,0
残秽的我们第二章 Playtest,0,0,0,0
Shepherd's Crossing,11.75,0.0,0.0,11.75
SNEK,0,0,0,0
Scare Girl,0,0,0,0
1428: Shadows over Silesia - Bonus Stories,0,0,0,0
Truer than You,0,0,0,0
Aircraft Pushback Simulator,0,0,0,0
Railway Empire 2 Playtest,0,0,0,0
Car Detailing Simulator - Track Day DLC,0,0,0,0
Spin Quest: A Slot Adventure,0,0,0,0
Sniper Elite 5: Winter Weapons Skin Pack,0,0,0,0
Anime Girls Trample,0,0,0,0
Shadow's Bullet,0,0,0,0
Borealis Descent,0,0,0,0
Hack & Schlitz - Dreed,0,0,0,0
拯救公主-宿命的破除,0,0,0,0
Ooglians,0,0,0,0
Deck 'Em!,0,0,0,0
Poly Runner VR,0.0,0.0,0.0,0.0
The Passenger,5.17,0.0,0.0,5.17
Legion TD 2 - Desert Ridge Campaign,0,0,0,0
Road Trip USA 2: West Collector's Edition,0,0,0,0
CRAP,0,0,0,0
Lost Eidolons - Artbook & World Map,0,0,0,0
Furry Feet - Armpits!,0,0,0,0
RUINSMAGUS - The Warrior and the Tailor ～最強の洋裁師～,0,0,0,0
I Love Finding Birds,0,0,0,0
STAR WARS Jedi: Survivor™ Deluxe Upgrade,0,0,0,0
Gust Buster,0.0,0.0,0.0,0.0
VDoll - Uncensored Patch,0,0,0,0
FAKE SIGNALS,0,0,0,0
Sailing Era,23.86,73.2,0.0,32.4
A.I. Rising,0,0,0,0
DRAGON BALL XENOVERSE 2 - HERO OF JUSTICE Pack 1,0,0,0,0
DRAGON BALL XENOVERSE 2 - HERO OF JUSTICE Pack Set,0,0,0,0
Fast Food Chef,0,0,0,0
Bike Arena,0,0,0,0
Ghost Bus Simulator,0,0,0,0
Not born to be King,0,0,0,0
Fantastic Chivalry·Interwoven fates,0,0,0,0
Little Witchelsa: Pumpkin Peril,0,0,0,0
GigaBash - Godzilla 4 Kaiju Pack,0,0,0,0
Mike's Arcade,0,0,0,0
Garden Renovator,0,0,0,0
Spaceship Ace Pilot,0,0,0,0
ENTANGLED SOULS,0,0,0,0
Fantasy Grounds - FG Medieval Buildings 2 Map Pack,0,0,0,0
Roost,0,0,0,0
Boti: Byteland Overclocked,0,0,0,0
Rhythm Bang Playtest,0,0,0,0
SPY SWATTER 2,0,0,0,0
The end is nahual: If I may say so,0,0,0,0
Slime Ranger,0,0,0,0
Rerun,0,0,0,0
Multiverse Mercenaries,0,0,0,0
Scrap Bastion,0,0,0,0
Grapple Gunners,0,0,0,0
Shadow Heroes-4 Epic heroes,0,0,0,0
Lost Dream: Stars,0.0,0.0,0.0,0.0
Hunt: Showdown – Frau Perchta,0,0,0,0
Island Defender Jets,0,0,0,0
Aero GPX,0,0,0,0
The Backrooms Multiplayer,0,0,0,0
X-Racing,0,0,0,0
Oroboros,0,0,0,0
Da Tutu,0,0,0,0
Many Minigames,0,0,0,0
Dallaham Playtest,0,0,0,0
VariDungeon,0,0,0,0
Latin America Empire 2027,0,0,0,0
I'm Not Happy,0,0,0,0
Last Kids on Earth: Hit the Deck!,0,0,0,0
Lost Judgment,23.5,52.0,101.86,47.87
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Tech Dungeon,0,0,0,0
LIMINAL,0,0,0,0
Trafficker - 4th Generation Warfare,0,0,0,0
Astral Tournament - a prequel of the Astral Masters,0,0,0,0
VR Cops Pack #3,0,0,0,0
VR Cops Pack #2,0,0,0,0
VR Cops Pack #1,0,0,0,0
Farm Manager 2021 - Floriculture DLC,0,0,0,0
魔卡幻想（Heroines Fantasy Inherit）,0,0,0,0
City Metro Simulator,0,0,0,0
Highway Cross,0,0,0,0
Two Cars Stunts Edition,0,0,0,0
Lion King Simulator,0,0,0,0
Angel Legion-DLC Shaohua(Red),0,0,0,0
Angel Legion-DLC Shaohua(Purple),0,0,0,0
CorpoNation: The Sorting Process,0,0,0,0
Wild Area,0,0,0,0
Trapped with Jester,0.17,0.25,0.28,0.26
Hunt: Showdown – The Concubine,0,0,0,0
Hypersense,0,0,0,0
Katana-Ra: Shinobi Rising,0,0,0,0
Forge of the Fae,0,0,0,0
strategy battles​,0,0,0,0
Journey Into Darkness,0,0,0,0
Howlbreath,0,0,0,0
Shipwrecked 64,0,0,0,0
Sushi For Robots,0,0,0,0
3D Don't Die Mr Robot,0,0,0,0
Aroma,0.0,0.0,3.28,3.28
Dungeon of Final Glory,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Warship,0,0,0,0
Super Jumpy Ball,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Winter Forest,0,0,0,0
Sumiii,0,0,0,0
Escape the Backrooms,6.06,7.63,0.0,6.43
Fantasy Grounds - Shadow of the Demon Lord Adventure Pack 3,0,0,0,0
Fantasy Grounds - Shadow of the Demon Lord Adventure Pack 4,0,0,0,0
Dwarf Star,0,0,0,0
Chicken Fight,0,0,0,0
Demonheart: The Ice Demon - Artbook,0,0,0,0
PhaigeX: Hyperspace Survivors,0,0,0,0
Desktop Farm Remastered,0,0,0,0
Quatro! - Founder DLC,0,0,0,0
Lost In Malul,0,0,0,0
Hyper Light Drifter,7.79,11.89,26.58,10.19
maboroshi caravan,0,0,0,0
Hypnotizing Beautiful Sisters Who Piss Me Off,0,0,0,0
キミもvtuberにならないか？,0,0,0,0
VISM,0,0,0,0
Sticky Notes,0,0,0,0
Handyman Corporation: Prologue,0,0,0,0
VR Cops Pack #4,0,0,0,0
Cosmic Coliseum,0,0,0,0
DIVINITY,0,0,0,0
Spooky Halloween in the Voxel World,0,0,0,0
Relation Killer,0,0,0,0
Tkium Underground,0,0,0,0
Automaton Lung,0.0,3.51,5.81,4.78
Scarebox,0,0,0,0
Shadow Heroes Playtest,0,0,0,0
Under The Shack,0,0,0,0
Save Santa,0,0,0,0
Blessed Work,0,0,0,0
Big Adventure: Trip to Europe 3 - Collector's Edition,0,0,0,0
Waste It - Millionaire DLC,0,0,0,0
Waste It - Billionaire DLC,0,0,0,0
Terminal Breach Playtest,0,0,0,0
SUR5,0,0,0,0
Light Fairytale Episode 3,0,0,0,0
Hidden Shapes - Trick or Cats,0.0,0.0,3.0,3.0
Virtual Sailor NG Additional Scenery and Boats,0,0,0,0
Asia Empire 2027,0,0,0,0
Just A To the Moon Series Beach Episode,0,0,0,0
Ace Pilot Europe,0,0,0,0
The Room Tribute,2.42,3.42,5.0,3.01
Vampire Rancher,0,0,0,0
Kingdoms of the Dump,0,0,0,0
Flappy Bat 2,0,0,0,0
Lizard SNES ROM,0,0,0,0
Like a Boss,0,0,0,0
Before Resignation,0,0,0,0
Hell Grocery,0,0,0,0
Find Girls2,0,0,0,0
Freedom Drive,0,0,0,0
Aerial Platforms,0,0,0,0
Mount Farewell,0,0,0,0
BIRDCAGE,0,0,0,0
Enigma do Labirinto,0,0,0,0
CUBEMATRIX,0,0,0,0
City of Elves,0,0,0,0
Crimson Phoenix Rise,0,0,0,0
I did not buy this ticket,0.91,0.0,0.0,0.91
RPG Architect,0,0,0,0
Star Rift Saga,0,0,0,0
Candlehead,0,0,0,0
Up & Away,0,0,0,0
Hand Simulator: Rendezvous,0,0,0,0
Within the Backrooms,0,0,0,0
Fourspell Survivors Online,0,0,0,0
BATTLE GEAR,0,0,0,0
IceLine,0,0,0,0
Technophobia: Dead Metal Tournament,0,0,0,0
Haunted: Attack of the Dead Men,0,0,0,0
braverBOTS,0,0,0,0
DinoBlits,0,0,0,0
Motherless - Season 2: Chapter 12 DLC,0,0,0,0
Motherless - Season 2: Chapter 13 DLC,0,0,0,0
Motherless - Season 2: Chapter 14 DLC,0,0,0,0
Motherless - Season 2: Chapter 15 DLC,0,0,0,0
Grade sword,0,0,0,0
Space Cheetah Hyper Runner,0,0,0,0
Office Run - Halloween Run,0,0,0,0
Deadly Harvest,0,0,0,0
Tales of Mathasia,0,0,0,0
Think It Up,0,0,0,0
"Walkabout Mini Golf: 20,000 Leagues Under the Sea",0,0,0,0
Robot Programmer,0,0,0,0
Murder Next Room,0,0,0,0
Glitched? or Programmed that Way?,0,0,0,0
Murder Next Room Playtest,0,0,0,0
The Trench,0,0,0,0
Sid Meier’s Civilization® VI: Leader Pass,0,0,0,0
Quatro!,0,0,0,0
Halloween InfiniPicross 2.0,0,0,0,0
Necroffense,0,0,0,0
Meowjiro,0.0,0.0,3.8,3.8
Wild Terra 2 - Bard Pack,0,0,0,0
Wild Terra 2 - Lord of Pain Pack,0,0,0,0
Underground Sheriff,0,0,0,0
Run Sackboy! Run!,2.3,2.53,18.5,6.13
Stunts Contest Monster Car,0,0,0,0
Vuosterávdnjái,0,0,0,0
Call of Cthulhu: Shadow of the Comet,6.56,7.36,8.71,7.22
无名勇者见闻录,0,0,0,0
Grindstone,31.93,39.37,40.43,35.76
Pool Game,0,0,0,0
Lost Amulets: Mystic Land,0,0,0,0
Healthy Plane,0,0,0,0
The Dead City,1.0,0.0,0.0,1.0
Big Adventure: Trip to Europe 2 - Collector's Edition,0,0,0,0
Hordes of Hunger,0,0,0,0
WetBread,0,0,0,0
Sex Adventures - The Bar Hookup,0,0,0,0
Murder on the Stella,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - The Emerald Spire Superdungeon Multi-Pack,0,0,0,0
Number 217721,0,0,0,0
SEARCH ALL - KEYS,0,0,0,0
First Bite - Bad Blood,0,0,0,0
Fantasy Grounds - ICONS Presents,0,0,0,0
Gamedec: Zaya - Zealous Huntress,0,0,0,0
Gamedec: Kyle - Con Artist,0,0,0,0
Gamedec: Tasha - Streetwise Artist,0,0,0,0
Fantasy Grounds - Shadow of the Demon Lord,0,0,0,0
Sacred Ember,0,0,0,0
Project Malice,0,0,0,0
Funeral,1.0,0.0,0.0,1.0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Flooded Dungeon,0,0,0,0
The Villager and the Werewolf - A jigsaw puzzle tale,0,0,0,0
FUCK HITLER,0,0,0,0
This is Hell,0,0,0,0
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Giant lairs,0,0,0,0
Fantasy Grounds - Demon Lord's Companion,0,0,0,0
Fantasy Grounds - Shadow of the Demon Lord Adventure Pack 1,0,0,0,0
Dead of Darkness,0,0,0,0
Fantasy Grounds - Shadow of the Demon Lord Adventure Pack 2,0,0,0,0
Carrot Revenge,0,0,0,0
Tahoe Dragon: The Beginning,0,0,0,0
Azarine Heart,0,0,0,0
SpiderHeck - Show Your Support,0,0,0,0
Konkan Coast Pirate Solutions,0,0,0,0
Raiding.Zone,0,0,0,0
Sweety Kitty,0,0,0,0
Evil Fate,0,0,0,0
Europe Empire 2027,0,0,0,0
DROS,0.0,0.0,0.0,0.0
Lost Ruins,6.41,8.52,27.19,9.21
Gemscape,0,0,0,0
The Future Radio and the Artificial Pigeons,9.71,14.18,18.87,14.12
Zad Maldan My Bloody Sacrifice,0,0,0,0
Redout 2 - Summer Pack,0,0,0,0
Dying Light 2 Stay Human: Dying Laugh Bundle,0,0,0,0
Motherless - Season 1: Support DLC 2.0,0,0,0,0
Rhythm Bang,0,0,0,0
Words of Yendor,0,0,0,0
BROK the InvestiGator - Artbook,0,0,0,0
Wallpaper Web,0,0,0,0
Trainz Plus DLC - Pro Train: ICE 4 Collection,0,0,0,0
Trainz 2022 DLC - Pro Train: ICE 4 Collection,0,0,0,0
Trainz 2019 DLC - Pro Train: ICE 4 Collection,0,0,0,0
Degen Royale,0,0,0,0
StickmanThug3D火柴人暴徒,0,0,0,0
Catch Canvas,3.06,3.86,4.71,3.81
"Warhammer 40,000: Darktide Playtest",0,0,0,0
Atelier Ryza 3 Season Pass,0,0,0,0
"Atelier Ryza 3 - ""Endless Summer Splash!"" Costume Set",0,0,0,0
"Atelier Ryza 3 - ""Far East Travelers"" Costume Set",0,0,0,0
"Atelier Ryza 3 - Additional Area ""Rosca Island""",0,0,0,0
"Atelier Ryza 3 - Recipe Expansion Pack ""Alchemy Mysteries""",0,0,0,0
"Atelier Ryza 3 - Recipe Expansion Pack ""Art of Adventure""",0,0,0,0
Atelier Ryza 3 - Gust Extra BGM Pack,0,0,0,0
Atelier Ryza 3 - Atelier Series Legacy BGM Pack,0,0,0,0
"Atelier Ryza 3 - Additional Area ""Ashra-am Baird Outlying Areas""",0,0,0,0
Asian Cargo Sim,0,0,0,0
Taxi Driver - The Simulation,0.0,0.0,0.0,0.0
Police Transporter Simulator,0,0,0,0
Needy Dragons,0,0,0,0
Unscripted,0.0,0.0,0.0,0.0
The Unfettered,0,0,0,0
Constraints,0,0,0,0
Deltazone - Gamemode Pack #1,0,0,0,0
Shuffled Words,0,0,0,0
SEX Apocalypse 3D,0,0,0,0
Gods Of Defense Playtest,0,0,0,0
Slayer Of Sin,0,0,0,0
Khitarii and Khimoshi,0,0,0,0
DarkenDerek The last Fallen,0,0,0,0
Alice with Gatling,0,0,0,0
Camouflet,0,0,0,0
The Darkest Emptiness,0,0,0,0
Elkabir,0,0,0,0
Divine Adventure RPG,0,0,0,0
Pinball 2018,0.0,0.0,0.23,0.23
THE MULLER-POWELL PRINCIPLE,0,0,0,0
FOREST DONGMUL,0,0,0,0
Darold The Doomer: Back 2 Reality,0,0,0,0
Nobody Paradox,0,0,0,0
Slave Of Lust,0,0,0,0
Love Formula,0,0,0,0
As Above AtumRa So Below,0,0,0,0
Finger Soccer,0,0,0,0
Secret Battle,0,0,0,0
Hazard Horizon,0,0,0,0
Undisputed Online Beta,0,0,0,0
The Waking Knot,0,0,0,0
Cobra Kai 2: Dojos Rising Nemesis Pack,0,0,0,0
Outlanders - Heir of the Roads,0,0,0,0
Outlanders - Flood and Fire,0,0,0,0
Minion Masters - Torment,0,0,0,0
Petty's Adventure: Desert,0,0,0,0
Steel Division 2 - Nemesis #6 - Siege of Dunkirk,0,0,0,0
Play Pretend,0,0,0,0
Medieval Kingdom Wars - Greater World,0,0,0,0
风色旅人,0,0,0,0
BlackThorne Keep - Chronicles,0,0,0,0
Sker Ritual - Draigs Terror,0,0,0,0
Sker Ritual - Friends in the Darkness,0,0,0,0
B.o.W II VR,0,0,0,0
Coloring Pixels - Halloween 4 Pack,0,0,0,0
Kings Shire,0,0,0,0
RUKIMIN's Disappointing Adventure!~SHOBOMI AND THE PHANTOM RUINS~ - Royalty free illustrations,0,0,0,0
Los Páramos,0,0,0,0
Orbital Clash,0,0,0,0
The Googol Clicker,0,0,0,0
VALKKRYES : Ashes Of War,0,0,0,0
KFZ,0,0,0,0
Loop8: Summer of Gods - Sporty Mix,0,0,0,0
Trash Panda: The Adventures of Ricky and Boxman,0,0,0,0
Realm of Khaos,0,0,0,0
Pawperty Damage,0,0,0,0
Toast The Ghost,0,0,0,0
Redmatch 2 - Dead of Night Bundle,0,0,0,0
Corpus Edax Playtest,0,0,0,0
Sokosignal,0,0,0,0
Kanea,0,0,0,0
Schildmaid MX,0.0,0.0,0.0,0.0
Elation For The Wonder Box 6000,0,0,0,0
SEKISAI puzzle action,0,0,0,0
Natsukiri－Summer Vacation At Kirishima House,0,0,0,0
"EL PASO, NIGHTMARE",0.0,0.0,0.0,0.0
Iniquity Survivors,0,0,0,0
The Qin Empire,0,0,0,0
Astra Defender,0,0,0,0
藏梦 Playtest,0,0,0,0
Re:|THM - once upon a time,0,0,0,0
Once Upon A Siege,0,0,0,0
俺が私に変わった日…～Becoming a She～,0,0,0,0
CarX Drift Racing Online - Engine Swaps Unlock,0,0,0,0
Angels Bleeding,0,0,0,0
MindHunt,0,0,0,0
Cannon Shoot Plane,0,0,0,0
Kao the Kangaroo - Yooka Laylee X Kao the Kangaroo DLC,0,0,0,0
Heartbreak Hotel,0,0,0,0
Stellar Fight,0,0,0,0
Our Mini Adventure,0,0,0,0
AI: Art Impostor,0,0,0,0
Odinfall,0,0,0,0
Third World: The Bottom Dimension,0,0,0,0
Pixel Starships 2,0,0,0,0
Simantik,0,0,0,0
Unicorn Tack Set - Horse Tales: Emerald Valley Ranch,0,0,0,0
The Seven Realms - Realm 1,0,0,0,0
Zombie Slapper,0,0,0,0
Age of Empires III: Definitive Edition – Hero Cosmetic Pack – Lizzie,0,0,0,0
Age of Empires III: Definitive Edition – Hero Cosmetic Pack – Kunoichi,0,0,0,0
Age of Empires III: Definitive Edition – Hero Cosmetic Pack – Vol. 1,0,0,0,0
A Traveler to unknown Thule,0,0,0,0
Aery - Calm Mind 3,0,0,0,0
Sonic Colors: Ultimate – Music Pack,0,0,0,0
Kinetic Storm,0,0,0,0
Blue Intervention,0,0,0,0
I Am Lewis,0,0,0,0
Scenez,0,0,0,0
Kingdom Of Secrets مملكة الأسرار,0,0,0,0
Soulslinger,0,0,0,0
Awakening of Legend - Monk Character,0,0,0,0
Hell's Mouth,0,0,0,0
Alexios The Protector,0,0,0,0
Alien Arena,0.0,0.0,0.0,0.0
Venture to the Vile,0.0,0.0,0.0,0.0
Coin Flipper,0.0,0.0,55.0,55.0
Survival Nation,0,0,0,0
Christmas Wonderland 5,0,0,0,0
1001 Jigsaw Detective 3,0,0,0,0
BoozeBall,0,0,0,0
DEFECTIVE,0.0,0.0,0.0,0.0
Construction Simulator - The Official Guide,0,0,0,0
The Last Weekend,0.0,0.0,0.52,0.52
Ember's Love,0,0,0,0
DOWNFALLEN,0,0,0,0
Broken Blade: Prelude,0,0,0,0
Elven Rivers 2: New Horizons Collector's Edition,0,0,0,0
TOKKI,0,0,0,0
Prison Architect - Undead,0,0,0,0
Dakar Desert Rally - Legends Pack,0,0,0,0
Royal Jigsaw 3,0,0,0,0
Royal Jigsaw 4,0,0,0,0
Vs Chat Pack,0,0,0,0
西部幻想 West Fantasy Playtest,0,0,0,0
Futa Paradise,0,0,0,0
Heroes of Eroticism - New Beginnings,0,0,0,0
SnowRunner - Save the Day Vinyl Wrap Pack,0,0,0,0
SnowRunner - Season 9: Renew & Rebuild,0,0,0,0
Noodle Samurai,0,0,0,0
Captain Blacksword,0,0,0,0
Rhythm Any Music,0,0,0,0
